>> Name << 	  	Guild Note 	Rank 	Race 	Adventuring 	Crafting 	Diplomacy 	Leadership 	Recruits 	Dungeons 	Meetings 	Crafting 	Roleplay 	Slayings 	Tributes 	Dueling 	Stories 	Grudges 	Buildings 	Donations 	Guilded
Ahzu 	  	(Turyion's alt.) 	Clansman 	Gnome 	Sorcerer 	10 	  	  	Diplomat 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	Mar. 2003
Anine 	  	(Anique's alt.) 	Clanswoman 	Dwarf 	Sorcerer 	11 	Tailor 	  	Diplomat 	  	  	  	  	1 	  	  	  	  	  	  	  	  	  	  	  	Jun. 2002
Anique 	  	  	Clanswoman 	Dwarf 	Cleric 	31 	  	  	Diplomat 	  	  	  	1 	1 	  	  	  	  	  	  	  	  	  	  	  	Jun. 2002
Anvyll 	  	  	Clansman 	Dwarf 	Cleric 	34 	  	  	Diplomat 	  	  	  	6 	1 	  	  	  	9 	  	13 	1 	  	  	  	  	Oct. 1999
Baldaran12 	  	  	Clansman 	Dwarf 	Cleric 	33 	  	  	Diplomat 	  	  	  	  	  	  	  	  	4 	  	  	  	  	  	  	  	Feb. 2002
Baltusrol 	  	  	Clansman 	Dwarf 	Paladin 	24 	  	  	Diplomat 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	Sep. 1999
Barzuln Trollslayer 	  	  	Clansman 	Dwarf 	Dread Knight 	34 	  	  	Diplomat 	  	4 	  	5 	1 	  	  	  	  	  	  	2 	1 	  	  	  	Aug. 2013
Behrin 	  	  	Clansman 	Dwarf 	Paladin 	11 	  	  	Diplomat 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	??
Battik 	  	  	Beardling 	Dwarf 	Paladin 	24 	Weaponsmith 	  	Diplomat 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	Aug. 2013
Bolgur Glanest 	  	  	Clansman 	Dwarf 	Cleric 	25 	Blacksmith 	  	Diplomat 	  	  	  	1 	  	  	  	  	  	  	  	  	  	  	  	  	Jul. 2008
Bombil Oakbottom 	  	(Warfeild's alt.) 	Clansman 	Dwarf 	Cleric 	1 	  	  	Diplomat 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	Aug. 1999
Burkx Sledgehammer 	  	  	Clansman 	Dwarf 	Paladin 	22 	Armorsmith 	  	Diplomat 	  	1 	  	8 	2 	  	  	  	  	  	  	  	  	  	  	  	Jul. 2000
Darodin Stoneforge 	  	  	Clansman 	Dwarf 	Paladin 	10 	  	  	Diplomat 	  	  	1 	  	1 	  	  	  	  	  	  	  	  	  	  	  	Jun. 2000
Dergrim 	  	  	Clansman 	Dwarf 	Paladin 	1 	  	  	Diplomat 	  	  	  	  	  	  	  	  	3 	  	  	  	  	  	  	  	Jun. 2008
Dikamek Skunkbane 	  	  	Clansman 	Dwarf 	Paladin 	13 	  	  	Diplomat 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	Sep. 1999
Dillgaar 	  	  	Clansman 	Dwarf 	Shaman 	1 	  	  	Diplomat 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	Nov. 1999
